iter	Passed	Remaining
0	1	111
1	2	100
2	2	91
3	3	85
4	4	91
5	5	92
6	7	95
7	8	94
8	9	92
9	10	91
10	10	87
11	11	86
12	12	83
13	13	82
14	14	81
15	15	81
16	16	81
17	17	79
18	18	79
19	20	82
20	21	82
21	23	81
22	24	80
23	25	79
24	26	79
25	27	78
26	28	77
27	29	76
28	30	74
29	31	73
30	32	72
31	33	70
32	34	69
33	35	69
34	36	67
35	37	66
36	38	65
37	39	63
38	39	62
39	40	61
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	47	49
49	48	48
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	98	0
