iter	Passed	Remaining
0	144	144115
1	145	72711
2	146	48834
3	148	36969
4	150	29915
5	152	25181
6	154	21955
7	156	19417
8	158	17429
9	159	15825
10	161	14495
11	162	13382
12	164	12467
13	165	11673
14	167	10989
15	169	10393
16	170	9869
17	172	9386
18	173	8955
19	174	8566
20	176	8220
21	178	7919
22	180	7658
23	181	7399
24	183	7166
25	185	6947
26	186	6731
27	188	6531
28	189	6338
29	190	6168
30	192	6028
31	195	5903
32	196	5763
33	198	5627
34	199	5503
35	200	5380
36	202	5265
37	203	5159
38	205	5058
39	206	4962
40	208	4880
41	210	4799
42	211	4717
43	213	4634
44	214	4553
45	216	4480
46	217	4407
47	218	4337
48	221	4301
49	223	4238
50	224	4178
51	226	4121
52	227	4064
53	228	4009
54	230	3959
55	231	3909
56	233	3859
57	234	3815
58	237	3782
59	238	3744
60	240	3707
61	242	3669
62	244	3632
63	245	3595
64	247	3557
65	251	3559
66	256	3566
67	258	3539
68	260	3514
69	262	3486
70	264	3462
71	266	3440
72	268	3412
73	270	3380
74	272	3362
75	275	3346
76	276	3319
77	278	3293
78	281	3281
79	282	3254
80	284	3228
81	286	3203
82	286	3170
83	288	3146
84	290	3125
85	291	3102
86	293	3077
87	294	3054
88	297	3041
89	298	3019
90	300	2996
91	301	2976
92	303	2958
93	304	2938
94	306	2916
95	307	2896
96	309	2877
97	311	2864
98	313	2849
99	314	2831
100	316	2814
101	317	2797
102	319	2782
103	321	2766
104	322	2752
105	324	2737
106	326	2727
107	328	2711
108	329	2696
109	331	2680
110	332	2666
111	334	2654
112	336	2641
113	338	2628
114	339	2613
115	341	2604
116	343	2589
117	344	2577
118	346	2565
119	348	2552
120	349	2538
121	350	2523
122	351	2508
123	353	2494
124	354	2480
125	356	2472
126	357	2459
127	359	2447
128	360	2437
129	362	2425
130	363	2414
131	365	2401
132	366	2391
133	368	2380
134	369	2370
135	372	2365
136	374	2356
137	375	2347
138	377	2337
139	379	2330
140	381	2321
141	381	2308
142	383	2297
143	386	2294
144	388	2290
145	390	2281
146	391	2272
147	393	2264
148	394	2255
149	396	2245
150	397	2236
151	399	2227
152	400	2219
153	403	2218
154	405	2209
155	406	2201
156	408	2192
157	409	2183
158	411	2175
159	412	2166
160	413	2156
161	415	2148
162	418	2146
163	419	2139
164	421	2130
165	422	2122
166	423	2114
167	425	2107
168	426	2098
169	428	2091
170	429	2083
171	433	2086
172	435	2079
173	436	2072
174	438	2065
175	439	2058
176	441	2050
177	442	2045
178	444	2040
179	446	2034
180	448	2029
181	449	2022
182	451	2015
183	453	2009
184	454	2003
185	456	1997
186	458	1991
187	459	1984
188	461	1978
189	463	1977
190	467	1980
191	468	1973
192	471	1969
193	472	1964
194	474	1959
195	476	1955
196	478	1952
197	480	1947
198	482	1942
199	484	1936
200	485	1930
201	486	1923
202	488	1917
203	489	1911
204	491	1905
205	493	1901
206	494	1895
207	496	1890
208	498	1885
209	499	1879
210	501	1874
211	502	1868
212	504	1864
213	506	1858
214	507	1854
215	510	1851
216	511	1845
217	513	1840
218	514	1834
219	516	1829
220	517	1825
221	519	1821
222	521	1817
223	523	1813
224	525	1808
225	526	1804
226	528	1799
227	530	1796
228	532	1791
229	533	1786
230	534	1781
231	536	1775
232	538	1773
233	540	1769
234	542	1764
235	543	1760
236	545	1756
237	546	1751
238	548	1745
239	549	1740
240	551	1736
241	553	1732
242	555	1729
243	556	1724
244	558	1720
245	559	1715
246	561	1711
247	562	1706
248	564	1702
249	566	1698
250	567	1693
251	569	1689
252	570	1685
253	572	1681
254	574	1677
255	575	1673
256	577	1669
257	579	1665
258	580	1661
259	582	1657
260	584	1655
261	586	1652
262	588	1648
263	590	1645
264	591	1641
265	593	1637
266	594	1633
267	596	1628
268	598	1625
269	600	1622
270	601	1618
271	603	1615
272	605	1611
273	606	1606
274	607	1602
275	609	1598
276	611	1595
277	613	1592
278	615	1591
279	617	1588
280	619	1584
281	620	1580
282	622	1576
283	623	1572
284	625	1568
285	626	1564
286	629	1562
287	630	1559
288	632	1556
289	634	1552
290	635	1549
291	637	1545
292	639	1542
293	640	1538
